# From the Bright Star Catalogue, 5th Revised Ed.,
# available online through VizieR.

# Only the first three columns (Dec, RA, Mag) are used by Xplanet.

#    Dec      RA   Mag         Name  BSN     HD    SAO
  0.5531  5.9804  5.22 " 60    Ori" 2103  40446 113321
  6.0733 19.1500  5.22 " 19    Aql" 7266 178596 124318
  7.6733 12.7603  5.22 " 32    Vir" 4847 110951 119574
  9.4242 13.2796  5.22 " 59    Vir" 5011 115383 119847
 10.0111  4.2434  5.22 "          " 1315  26793 111680
 17.4642  2.8215  5.22 " 42Pi  Ari"  836  17543  93127
 17.5294 13.1665  5.22 " 42Alp Com" 4968 114378 100443
 17.5294 13.1665  5.22 " 42Alp Com" 4969 114379 100443
 21.4450  7.4623  5.22 " 63    Gem" 2846  58728  79403
 24.9381 20.0337  5.22 " 16    Vul" 7657 190004  88098
 27.9275  8.9277  5.22 " 58Rho2Cnc" 3540  76219  80511
 32.9014 18.9504  5.22 "          " 7162 176051  67612
 39.2364 23.5215  5.22 " 14    And" 8930 221345  73311
 48.7894  6.7943  5.22 " 57Psi6Aur" 2487  48781  41346
 76.1150  2.0920  5.22 " 49    Cas"  592  12339   4565
-11.5303  6.4029  5.22 "          " 2305  44951 151458
-11.8375 16.2308  5.22 " 17Chi Sco" 6048 145897 159793
-14.9547 20.6546  5.22 " 14Tau Cap" 7889 196662 163771
-19.9431 13.2663  5.22 " 57    Vir" 5001 115202 157823
-32.4997 11.6956  5.22 "          " 4503 101666 202717
-36.0631 11.4248  5.22 "          " 4409  99322 202428
-41.2306 16.8594  5.22 "          " 6245 151804 227313
-50.9869  0.8448  5.22 "   Rho Phe"  242   4919 232203
-56.8528  6.4912  5.22 "          " 2389  46355 234541
  2.1964 15.8382  5.23 " 34Ome Ser" 5888 141680 121215
  2.7636  2.0341  5.23 "113Alp Psc"  595  12446      0
  4.2936 20.9846  5.23 "  1Eps Equ" 8034 199766 126428
 -2.4733  4.6267  5.23 " 51    Eri" 1474  29391 131358
 -2.7825  2.9783  5.23 "          "  892  18543 130215
 -7.5981 16.4621  5.23 "          " 6128 148349 141186
 11.5444  6.5301  5.23 "          " 2375  46089  95788
 13.6225 18.9849  5.23 " 11    Aql" 7172 176303 104308
 28.7381  1.3521  5.23 " 91    Psc"  389   8126  74647
 29.0014  4.1168  5.23 " 42Psi Tau" 1269  25867  76461
 29.7517  0.5020  5.23 " 28    And"  114   2628  74041
 32.5017 19.1238  5.23 " 17    Lyr" 7261 178449  67835
 41.8044  5.3634  5.23 " 20Rho Aur" 1749  34759  40269
 61.8750 17.5832  5.23 " 26    Dra" 6573 160269  17546
 64.5861  3.4112  5.23 "          " 1009  20797  12743
-17.4669  3.6048  5.23 " 20    Eri" 1100  22470 149063
-35.8911  9.9812  5.23 "   Eta Ant" 3947  86629 200926
-45.4108  8.6991  5.23 "          " 3456  74371 220300
-46.6086  7.7921  5.23 "          " 3037  63578 219000
-47.9375  8.1620  5.23 "          " 3213  68324 219515
-50.6336 17.4333  5.23 "   Kap Ara" 6468 157457 244734
-52.1883  9.0291  5.23 "          " 3605  77653 236518
-56.7572 10.7826  5.23 "          " 4221  93563 238468
-61.2731 14.3310  5.23 "          " 5349 125158 252703
-64.1697 11.2126  5.23 "          " 4355  97583 251320
-64.2633 10.7749  5.23 "          " 4220  93549 251117
  5.2467 16.7962  5.24 " 45    Her" 6234 151525 121865
  7.5753  1.2289  5.24 " 86Zet Psc"  361   7344 109739
 -6.3531  9.2783  5.24 " 23    Hya" 3681  79910 136725
 -8.0689 10.2938  5.24 " 22Eps Sex" 4042  89254 137469
 -8.1806 18.0514  5.24 " 69Tau Oph" 6734 164765 142050
 10.6681  9.1291  5.24 " 76Kap Cnc" 3623  78316  98378
 20.2686  1.7083  5.24 "107    Psc"  493  10476  74883
 30.6822 10.7644  5.24 " 42    LMi" 4203  93152  62236
 40.3533 15.6304  5.24 " 54Phi Boo" 5823 139641  45643
 40.3650 20.2820  5.24 "          " 7759 193092  49410
 46.5406 21.4908  5.24 " 71    Cyg" 8228 204771  50934
 56.8394 22.1969  5.24 "          " 8472 210855  34151
 65.4386 12.9246  5.24 "  8    Dra" 4916 112429  15941
 67.2092 23.0591  5.24 "          " 8779 218029  20398
 69.4325 14.2011  5.24 "          " 5334 124730  16305
-18.2769 23.7367  5.24 "106    Aqr" 8998 222847 165854
-20.1389 10.8915  5.24 "          " 4251  94388 156301
-20.3247 18.8278  5.24 " 29    Sgr" 7078 174116 187324
-20.6517 21.2605  5.24 " 28Phi Cap" 8127 202320 190173
-22.0061  0.7457  5.24 "          "  197   4247 166528
-23.2628 21.7002  5.24 " 41    Cap" 8285 206356 190559
-23.8747  3.7943  5.24 " 28Tau7Eri" 1181  23878 168836
-26.0875 14.7958  5.24 " 56    Hya" 5516 130259 182882
-37.4250 15.7106  5.24 "          " 5837 139980 206887
-37.6967  6.5393  5.24 "          " 2399  46568 196917
-39.2972  7.9912  5.24 "          " 3140  65925 198668
-40.4061 18.7957  5.24 "   Mu  CrA" 7050 173540 229285
-46.7328 15.4901  5.24 "          " 5742 137709 225825
-62.5064  3.3036  5.24 "   Zet2Ret" 1010  20807 248774
-63.3864  4.3648  5.24 "   Eta Ret" 1395  28093 249009
  1.9144  7.5350  5.25 "  7Del1CMi" 2880  59881 115581
  2.2672  2.5250  5.25 "          "  737  15694 110589
  6.9419  7.4672  5.25 "  5Eta CMi" 2851  58923 115477
 -1.1631  3.7418  5.25 " 24    Eri" 1146  23363 130698
 -6.1539 16.9099  5.25 " 23    Oph" 6280 152601 141431
 15.8267  7.5601  5.25 " 68    Gem" 2886  60107  97016
 17.8267 18.3803  5.25 "          " 6885 169191 103655
 20.4792 16.5093  5.25 "          " 6152 148897  84416
 32.5508 18.8314  5.25 "  9Nu 2Lyr" 7102 174602  67446
 33.5683 17.0268  5.25 " 59    Her" 6332 154029  65736
 35.7989 13.0957  5.25 " 14    CVn" 4943 113797  63338
 40.2256 22.6913  5.25 " 12    Lac" 8640 214993  72627
 40.2397  9.6394  5.25 " 42    Lyn" 3829  83287  42958
 43.5775  6.7790  5.25 " 56Psi5Aur" 2483  48682  41330
 49.4581 14.1381  5.25 " 13    Boo" 5300 123782  44905
 54.5564 15.1046  5.25 "          " 5635 134190  29407
 69.1094 16.3635  5.25 "          " 6126 148293  17062
-12.7078 13.4453  5.25 " 68    Vir" 5064 116870 157938
-13.9272  5.3917  5.25 "  8    Lep" 1783  35337 150396
-17.9383  0.2028  5.25 "          "   37    787 147144
-18.2117 20.4553  5.25 " 10Pi  Cap" 7814 194636 163592
-32.3269  1.7024  5.25 "   Pi  Scl"  497  10537 193263
-35.1331  0.1956  5.25 "   The Scl"   35    739 192388
-39.2103  7.3093  5.25 "          " 2791  57240 197836
-43.2275  9.2401  5.25 "          " 3674  79735 220978
-43.3689 13.1898  5.25 "          " 4973 114474 223966
-44.1103 18.4051  5.25 "          " 6875 168905 228982
-47.4683 17.3878  5.25 "   Iot Ara" 6451 157042 227886
-47.6417 11.5988  5.25 "          " 4466 100825 222895
-52.8117 13.8680  5.25 "          " 5207 120642 241239
-54.5003 17.6349  5.25 "   Pi  Ara" 6549 159492 244896
-57.2406 10.8753  5.25 "          " 4250  94367 238557
 -4.8558  5.5943  5.26 " 45    Ori" 1901  37077 132336
 -7.6008  3.0712  5.26 " 10Rho3Eri"  925  19107 130269
 -8.9703  4.5699  5.26 "          " 1452  29065 131316
 10.0100 15.6082  5.26 " 16    Ser" 5802 139195 101640
 12.4447  9.9704  5.26 " 27Nu  Leo" 3937  86360  98876
 15.0953  4.3434  5.26 " 58    Tau" 1356  27459  93876
 21.3528 11.6797  5.26 " 92    Leo" 4495 101484  81941
 25.5794  3.8386  5.26 "          " 1188  23985  76256
 29.1642 15.2414  5.26 " 48Chi Boo" 5676 135502  83729
 64.6214  1.9939  5.26 "          "  567  11946  12076
 82.5586 10.5179  5.26 "          " 4084  90089   1714
-19.6133 22.7925  5.26 " 68    Aqr" 8670 215721 165293
-19.6589 12.0142  5.26 "          " 4590 104337 157042
-37.9297  6.7893  5.26 "          " 2518  49591 197215
-39.4253 21.2175  5.26 "          " 8104 201772 212793
-51.0511  9.3016  5.26 "          " 3703  80456 236824
-58.2250  8.5876  5.26 "          " 3415  73390 236105
-58.9014 19.9517  5.26 "          " 7587 188162 246349
-62.8067  2.8171  5.26 "   Nu  Hor"  852  17848 248656
  6.4542  5.8001  5.27 " 52    Ori" 1999  38710 113150
 -6.0886  3.1093  5.27 "          "  935  19349 130284
 -7.8231  6.3286  5.27 "  7    Mon" 2273  44112 133114
 11.8267 19.7094  5.27 " 47Chi Aql" 7497 186203 105168
 21.2108  2.2134  5.27 " 17Eta Ari"  646  13555  75204
 21.7611  6.8592  5.27 " 36    Gem" 2529  49908  78805
 24.4461 18.3196  5.27 "105    Her" 6860 168532  85921
 26.2306 18.9960  5.27 "          " 7181 176527  86673
 28.0222  6.5867  5.27 " 49    Aur" 2398  46553  78524
 43.8544 14.1322  5.27 "          " 5299 123657  44901
 47.0072  1.5017  5.27 " 49    And"  430   9057  37275
 49.8200  9.9286  5.27 " 31    UMa" 3917  85795  27430
 50.4339  7.7345  5.27 "          " 2969  61931  26488
 55.6283 11.7821  5.27 "          " 4521 102328  28142
 56.7414  9.2639  5.27 " 17    UMa" 3660  79354  27185
 62.7856 22.0835  5.27 " 20    Cep" 8426 209960  19847
 64.8211 20.0246  5.27 " 64    Dra" 7676 190544  18658
 65.1406  4.3445  5.27 "          " 1327  27022  13098
 74.0856 18.7630  5.27 "          " 7117 174980   9241
 86.1081 22.2196  5.27 "          " 8546 212710   3721
-26.2550  8.6312  5.27 "   Eta Pyx" 3420  73495 176189
-32.3397  6.6299  5.27 "          " 2447  47536 197019
-50.2392  6.4970  5.27 "          " 2384  46273 234539
-55.5697  9.2383  5.27 "          " 3679  79846 236749
-59.7328  4.7392  5.27 "   Kap Dor" 1530  30478 233664
-64.0581 16.4659  5.27 "   Iot TrA" 6109 147787 253555
-78.6672 16.3408  5.27 "   Del2Aps" 6021 145388 257381
  0.3958  2.3657  5.28 " 69    Cet"  689  14652 110495
 -1.5497  4.0256  5.28 " 35    Eri" 1244  25340 130878
 11.4239 19.9373  5.28 " 61Phi Aql" 7610 188728 105438
 11.5953 19.2969  5.28 " 25Ome1Aql" 7315 180868 104691
 20.8336 18.0398  5.28 " 96    Her" 6738 164852  85672
 21.1469  3.3538  5.28 " 61Tau1Ari" 1005  20756  75886
 22.1997  4.4236  5.28 " 67Kap2Tau" 1388  27946  76602
 31.4389  4.4351  5.28 "          " 1390  27971  57229
 33.3589  2.2656  5.28 "  7    Tri"  655  13869  55397
 36.1003 19.1217  5.28 " 18Iot Lyr" 7262 178475  67834
 50.6953  3.9435  5.28 " 43    Per" 1210  24546  24314
 52.3517  3.0145  5.28 "          "  890  18537  23763
 57.5444  5.3911  5.28 " 16    Cam" 1751  34787  25161
 73.0400  1.6419  5.28 " 40    Cas"  456   9774   4453
 83.4128 12.8204  5.28 "          " 4893 112028   2102
-15.1714 21.2625  5.28 " 29    Cap" 8128 202369 164263
-15.4478 23.7078  5.28 "          " 8987 222643 165841
-19.1186 20.3232  5.28 "  7Sig Cap" 7761 193150 163445
-24.0461  8.4177  5.28 "          " 3315  71176 175783
-26.5858  7.3142  5.28 "          " 2786  57146 173453
-30.7239  2.2151  5.28 "   Mu  For"  652  13709 193573
-33.0167 18.5661  5.28 "          " 6960 171034 210312
-51.2333 10.2230  5.28 "          " 4017  88824 237804
-65.8153 10.1452  5.28 "          " 3995  88323 250836
-79.1094  2.5279  5.28 "   Mu  Hyi"  776  16522 255898
-82.2239  0.1672  5.28 "   Gam3Oct"   30    636 258215
-87.6058 18.9130  5.28 "   Chi Oct" 6721 164461 258799
  2.2247  7.9724  5.29 " 14    CMi" 3110  65345 116182
  7.7161  4.2259  5.29 " 46    Tau" 1309  26690 111672
 -1.8972  8.7875  5.29 "          " 3486  74988 136276
 10.1006 14.2474  5.29 " 15    Boo" 5330 124679 100934
 13.8997  5.7953  5.29 "133    Tau" 1993  38622  94864
 17.2856 21.8357  5.29 " 13    Peg" 8344 207652 107425
 22.9489 21.7679  5.29 " 12    Peg" 8321 207089  89972
 25.9128 12.4819  5.29 " 17    Com" 4752 108662  82330
 29.6694  2.4694  5.29 " 12    Tri"  717  15257  75382
 38.4453  6.6091  5.29 "          " 2405  46687  59280
 43.3650  4.7151  5.29 " 59    Per" 1494  29722  39699
 48.9842 12.3302  5.29 "  3    CVn" 4690 107274  44127
 49.2133  3.3870  5.29 "          " 1011  20809  38768
 56.0156 16.6334  5.29 "          " 6199 150449  30026
 63.1197 22.0647  5.29 " 18    Cep" 8416 209772  19828
 68.7786  1.1776  5.29 " 31    Cas"  336   6829  11612
-14.4258  6.7809  5.29 " 11    CMa" 2504  49229 151919
-18.6781 23.7669  5.29 "107    Aqr" 9002 223024 165867
-34.6678  5.7042  5.29 "          " 1973  38170 196098
-41.1792 21.5350  5.29 "   Xi  Gru" 8229 204783 230726
-45.6900 11.7622  5.29 "          " 4519 102232 223009
-45.8436 17.4476  5.29 "          " 6477 157661 227971
-52.6353  5.9139  5.29 "          " 2094  40292 234199
-53.2369 17.0524  5.29 "   Eps2Ara" 6314 153580 244388
-64.1722 10.4813  5.29 "          " 4120  91056 250979
-72.2556 22.4102  5.29 "   Nu  Ind" 8515 211998 258033
-73.4000  8.3679  5.29 "   Eta Vol" 3334  71576 256505
-74.8944  9.2904  5.29 "          " 3720  80951 256599
-82.7192 21.8484  5.29 "   Lam Oct" 8280 206240 258914
  5.6800 21.7043  5.30 "  7    Peg" 8289 206487 127002
 -0.9067 22.0798  5.30 " 32    Aqr" 8410 209625 145853
 10.7683  7.7712  5.30 " 11    CMi" 3008  62832  97224
 10.9475 23.8770  5.30 " 82    Peg" 9039 223781 108879
 11.6697  7.4162  5.30 "  1    CMi" 2820  58187  96871
 16.1431  6.2570  5.30 " 72    Ori" 2223  43153  95447
 20.4183  5.1301  5.30 "106    Tau" 1658  32977  76971
 21.5817  8.1294  5.30 " 10Mu 2Cnc" 3176  67228  79959
 27.0608  2.6781  5.30 " 33    Ari"  782  16628  75510
 34.2639  2.6174  5.30 "          "  758  16210      0
 47.3800  2.3213  5.30 " 62    And"  670  14212  37948
 50.4717 23.6523  5.30 " 18    And" 8967 222304  35642
 56.7572  4.8001  5.30 "  4    Cam" 1511  30121  24829
 66.7450 11.7079  5.30 "  3    Dra" 4504 101673  15606
-12.3156  5.3331  5.30 "  7Nu  Lep" 1757  34863 150345
-21.1936 21.1427  5.30 " 25Chi Cap" 8087 201184 190050
-22.9414  6.9297  5.30 "          " 2595  51283 172588
-24.6422 14.9056  5.30 " 12    Lib" 5548 131430 182983
-25.7139 11.9118  5.30 "          " 4558 103462 180288
-34.6978 19.9976  5.30 "   The2Sgr" 7624 189118 211717
-38.6317 21.0494  5.30 "   Zet Mic" 8048 200163 212666
-61.1153 11.4431  5.30 "          " 4415  99556 251406
  0.9983  4.6205  5.31 "          " 1469  29335 111928
  5.3431 20.3863  5.31 "          " 7794 194013 125747
 -1.0625 17.5066  5.31 "          " 6516 158614 141702
 -3.4431  8.8227  5.31 " 14    Hya" 3500  75333 136308
 22.3258 20.9712  5.31 " 33    Vul" 8032 199697  89332
 25.7842  7.7352  5.31 " 76    Gem" 2983  62285  79650
 37.1167 21.4559  5.31 " 70    Cyg" 8215 204403  71358
 39.3369 11.4845  5.31 " 57    UMa" 4422  99787  62572
 46.0569  3.5406  5.31 " 36    Per" 1069  21770  38924
 48.8350 21.4477  5.31 "          " 8216 204411  50867
 51.0658  2.2268  5.31 "          "  645  13530  23047
-11.2667  0.9337  5.31 " 22Phi3Cet"  267   5437 147519
-12.8161 10.1683  5.31 "          " 3991  88215 155780
-14.1489 14.8220  5.31 "  7Mu  Lib" 5523 130559 158821
-19.1658  6.1282  5.31 " 19    Lep" 2168  42042 151142
-25.0525  1.7608  5.31 "   Eps Scl"  514  10830 167275
-28.6894  5.6291  5.31 "   Nu 2Col" 1935  37495 170613
-32.0731 23.6773  5.31 "   Mu  Scl" 8975 222433 214701
-32.6750  8.0712  5.31 "          " 3170  66888 198764
-40.4989  7.2044  5.31 "          " 2727  55719 218525
-45.7239 12.2341  5.31 "          " 4652 106321 223297
-46.5972  5.7743  5.31 "          " 2008  38871 217521
-50.4814  4.7129  5.31 "   Lam Pic" 1516  30185 233638
-52.5431  2.6234  5.31 "   Eta Hor"  778  16555 232835
-63.0586 12.7140  5.31 "          " 4830 110432 252002
-64.4853 13.4205  5.31 "          " 5048 116457 252304
-66.9442 20.0312  5.31 "   Mu 2Pav" 7612 188887 254707
-71.3144  5.0453  5.31 "   Bet Men" 1677  33285 256154
  8.2458 11.7986  5.32 "  4    Vir" 4528 102510 119058
 -7.6853  3.0451  5.32 "  9Rho2Eri"  917  18953 130254
 13.3075 11.2644  5.32 " 73    Leo" 4365  97907  99525
 22.4989 23.5578  5.32 " 71    Peg" 8940 221615  91340
 24.3953  9.8647  5.32 " 22    Leo" 3900  85376  81054
 24.6711 20.2797  5.32 " 24    Vul" 7753 192944  88451
 31.7017 16.8828  5.32 " 53    Her" 6279 152598  65627
 31.8125 23.3653  5.32 " 64    Peg" 8887 220222  73205
 43.2178  9.2301  5.32 " 36    Lyn" 3652  79158  42759
 65.7183  6.2142  5.32 " 36    Cam" 2165  41927  13756
 66.5972 12.9986  5.32 "  9    Dra" 4928 113092  15960
 68.4742  8.2136  5.32 "          " 3182  67447  14456
-14.7961  6.7665  5.32 "          " 2498  49048 151895
-21.0742 22.2383  5.32 " 41    Aqr" 8480 210960 190986
-24.8064 14.4135  5.32 "          " 5390 126218 182517
-33.8558 14.9291  5.32 "          " 5558 131625 206099
-35.4128 12.3932  5.32 "          " 4712 107832 203420
-36.1011 20.1866  5.32 "          " 7703 191408 211885
-56.8361 12.9325  5.32 "          " 4908 112244 240385
-57.7972 22.4157  5.32 "          " 8531 212330 247441
-57.9836  9.6785  5.32 "          " 3863  84121 237221
  2.5081  4.8897  5.33 "  5    Ori" 1562  31139 112179
  4.9394 15.2532  5.33 "  3    Ser" 5675 135482 120916
  5.4356  4.0624  5.33 " 40    Tau" 1253  25558 111585
  7.7792  4.9133  5.33 "          " 1571  31296 112203
 10.5853 17.2077  5.33 " 37    Oph" 6393 155644 102646
 12.5511  6.2625  5.33 " 73    Ori" 2229  43247  95457
 12.8475 15.6965  5.33 " 20Chi Ser" 5843 140160 101683
 13.6756 13.2877  5.33 "          " 5013 115478 100497
 20.4411  8.5451  5.33 " 33Eta Cnc" 3366  72292  80243
 30.9611  7.5857  5.33 "          " 2896  60318  60204
 34.2017 11.6842  5.33 " 61    UMa" 4496 101501  62655
 34.6047 22.2133  5.33 "          " 8475 210889  72132
 38.3375  2.8952  5.33 " 20    Per"  855  17904  55975
 39.4586  0.6853  5.33 " 32    And"  175   3817  54079
 46.3872 23.1276  5.33 "  4    And" 8804 218452  52711
 59.4486  6.8847  5.33 " 14    Lyn" 2520  49618  26012
-16.2011  7.4111  5.33 "          " 2825  58343 152834
-19.9308 13.2364  5.33 " 55    Vir" 4995 114946 157806
-24.9122  7.8171  5.33 "          " 3043  63660 174592
-38.0100 10.3915  5.33 "          " 4086  90132 201346
-39.4014  9.2826  5.33 "          " 3694  80170 200185
-39.8744 19.8641  5.33 "          " 7552 187474 229903
-41.8169 16.5282  5.33 "          " 6142 148688 226855
-47.5208  8.8974  5.33 "          " 3551  76360 220636
-47.9292  8.4846  5.33 "          " 3358  72108 219985
-49.5722 16.3744  5.33 "          " 6083 147152 226693
-56.0233 18.2854  5.33 "          " 6819 167128 245369
-68.4247 19.1646  5.33 "          " 7221 177389 254475
  2.5958  5.3198  5.34 " 21    Ori" 1746  34658 112624
  8.4983  5.1314  5.34 " 14    Ori" 1664  33054 112440
 -1.1561  5.5587  5.34 "          " 1868  36695 132255
 -5.7333  1.7665  5.34 "          "  513  10824 129490
 -7.9394 19.2113  5.34 " 20    Aql" 7279 179406 143134
 10.5453 10.8209  5.34 " 53    Leo" 4227  93702  99305
 14.9414  9.2538  5.34 " 82Pi 2Cnc" 3669  79554  98456
 21.4733  1.0947  5.34 " 74Psi1Psc"  310   6456  74482
-12.8314 22.2800  5.34 " 42    Aqr" 8496 211361 164974
-18.0272 23.6929  5.34 "103    Aqr" 8980 222547 165834
-24.2822 18.0475  5.34 "  7    Sgr" 6724 164584 186163
-28.9919 10.3021  5.34 "          " 4049  89353 178644
-32.9892 18.5180  5.34 "          " 6936 170479 210257
-36.6694 18.3814  5.34 "          " 6870 168733 210061
-44.2681  4.3213  5.34 "          " 1364  27588 216749
-48.6928 12.1374  5.34 "          " 4620 105416 223235
-64.2275  5.5499  5.34 "          " 1917  37297 249309
-64.5150 10.7713  5.34 "          " 4219  93540 251115
-69.5053 21.4791  5.34 "          " 8196 203881 255003
-76.6628 14.9647  5.34 "          " 5540 131109 257212
  0.7153 15.3506  5.35 "  6    Ser" 5710 136514 120955
  3.1114  7.2389  5.35 "          " 2729  55751 115119
  6.0500  3.7612  5.35 " 29    Tau" 1153  23466 111400
 -1.0350  2.5359  5.35 " 75    Cet"  739  15779 129959
 -1.5919  5.5448  5.35 "          " 1861  36591 132234
 -7.5181  5.8561  5.35 " 55    Ori" 2031  39291 132591
 14.0217  9.7289  5.35 " 16Psi Leo" 3866  84194  98733
 18.0944  8.5266  5.35 " 31The Cnc" 3357  72094  97881
 18.4333 16.9228  5.35 " 54    Her" 6293 152879 102476
 19.8839  7.9278  5.35 " 85    Gem" 3086  64648  79799
 21.1422  4.3239  5.35 " 53    Tau" 1339  27295  76548
 29.3106 10.2707  5.35 " 23    LMi" 4024  88960  81258
 34.6875  2.5963  5.35 " 15    Tri"  750  16058  55687
 42.4128 19.5781  5.35 "          " 7444 184875  48601
 53.4731  4.6661  5.35 "  2    Cam" 1466  29316  24744
 57.1692  6.7804  5.35 " 13    Lyn" 2477  48432  25947
 58.4058 12.4992  5.35 " 74    UMa" 4760 108844  28405
 59.9992  6.2613  5.35 " 40    Cam" 2201  42633  13772
 60.7594 22.2005  5.35 "          " 8479 210939  19932
 75.4339 18.7728  5.35 " 50    Dra" 7124 175286   9250
-28.1431 17.3893  5.35 " 43    Oph" 6459 157236 185350
-30.0017  2.0208  5.35 "   Pi  For"  594  12438 193455
-31.8089  7.4122  5.35 "          " 2834  58535 197964
-39.8100 20.8945  5.35 "          " 7987 198716 212522
-40.6494  9.5387  5.35 "          " 3807  82694 221262
-43.5003  7.9494  5.35 "          " 3114  65460 219189
-46.2433 16.4951  5.35 "          " 6131 148379 226813
-56.3625 19.8003  5.35 "   Nu  Tel" 7510 186543 246271
-60.3119  2.4150  5.35 "   Lam Hor"  714  15233 248555
-66.7931  8.8430  5.35 "          " 3537  76143 250347
-68.3292 12.0774  5.35 "          " 4604 104878 251720
-80.1242 22.8397  5.35 "   Xi  Oct" 8663 215573 258946
  2.8269  4.0694  5.36 "          " 1257  25621 111590
  3.5381 13.7177  5.36 " 84    Vir" 5159 119425 120082
  3.7669  5.5713  5.36 " 38    Ori" 1872  36777 112904
  8.1342 11.6410  5.36 "  1Ome Vir" 4483 101153 118965
 -7.7725  8.1925  5.36 "          " 3212  68312 135611
 -9.3903  6.3141  5.36 "          " 2267  43993 133091
 16.6347 19.9337  5.36 " 10    Sge" 7609 188727 105436
 21.4383  0.6654  5.36 " 55    Psc"  167   3690  74182
 31.9236 10.0169  5.36 " 20    LMi" 3951  86728  61808
 35.9725 20.1061  5.36 " 27    Cyg" 7689 191026  69413
 38.4828  6.1098  5.36 " 40    Aur" 2143  41357  58749
 49.6725  7.4989  5.36 " 22    Lyn" 2849  58855  41808
 52.3536 18.5658  5.36 "          " 6983 171779  31051
 53.4522  6.3628  5.36 " 45    Aur" 2264  43905  25681
 58.9358  6.1664  5.36 " 37    Cam" 2152  41597  25597
-30.6864  7.2558  5.36 "          " 2756  56342 197756
-42.7106 18.9380  5.36 "          " 7122 175219 229383
-46.3975  1.0470  5.36 "          "  299   6245 215343
-49.1011 11.2092  5.36 "          " 4350  97495 222639
-62.8758 14.7548  5.36 "          " 5482 129422 252869
-80.7869  9.4025  5.36 "   Iot Cha" 3795  82554 258530
  3.6553 11.9991  5.37 "  7    Vir" 4585 104181 119156
  5.7894 22.3410  5.37 " 30    Peg" 8513 211924 127453
  8.1903  0.3433  5.37 " 41    Psc"   80   1635 109152
 -3.4669 16.1640  5.37 "          " 6016 145206 141001
 -7.8211 22.3366  5.37 " 46Rho Aqr" 8512 211838 146023
 11.7056  4.7671  5.37 "          " 1519  30210  94111
 17.5167 20.0009  5.37 " 13    Sge" 7645 189577 105522
 25.6292  4.3764  5.37 " 59Chi Tau" 1369  27638  76573
 32.9339 15.3635  5.37 " 50    Boo" 5718 136849  64656
 35.1031  9.5257  5.37 "  8    LMi" 3769  82198  61540
 39.6128 18.7397  5.37 "  5Eps2Lyr" 7054 173608      0
 43.1386 15.9105  5.37 "  2    Her" 5932 142780  45788
 45.8339  8.6836  5.37 " 34    Lyn" 3422  73593  42490
 46.1558 21.0197  5.37 " 60    Cyg" 8053 200310  50359
 47.8714  3.9328  5.37 "          " 1207  24504  39195
 48.5856 17.6104  5.37 " 82    Her" 6574 160290  46838
-16.3858  4.1549  5.37 "          " 1288  26326 149412
-17.7353 13.3836  5.37 " 63    Vir" 5044 116292 157899
-22.3922 18.7724  5.37 " 28    Sgr" 7046 173460 187255
-34.0147 22.1655  5.37 "          " 8444 210271 213599
-34.1731  7.7597  5.37 "          " 3018  63077 198404
-39.7103 15.4125  5.37 "   Ups Lup" 5719 136933 206597
-43.1861 18.6597  5.37 "          " 6991 171967 229172
-49.5192 14.5058  5.37 "          " 5413 126983 224972
-53.6278 22.3043  5.37 "          " 8501 211415 247400
-53.9650 23.0777  5.37 "   Kap Gru" 8774 217902 247711
-61.7753  1.1219  5.37 "   Iot Tuc"  332   6793 248324
-71.5150  8.3303  5.37 "   Kap1Vol" 3301  71046 256497
 -0.2689  4.0435  5.38 "          " 1249  25457 130893
 -0.9303  3.3062  5.38 " 95    Cet"  992  20559 130408
 -4.1939  6.1107  5.38 "          " 2154  41692 132841
 -6.0711  9.4630  5.38 "          " 3750  81809 136872
 13.0272 20.5658  5.38 "  3Eta Del" 7858 195943 106248
 15.4756  0.7758  5.38 " 57    Psc"  211   4408  92072
 17.3608 18.9707  5.38 "          " 7165 176155 104296
 19.1722  1.4376  5.38 " 93Rho Psc"  413   8723  92436
 20.2944  0.5432  5.38 " 52    Psc"  131   2910  74084
 21.7736  4.3269  5.38 " 56    Tau" 1341  27309  76551
 24.0394  5.5909  5.38 "121    Tau" 1875  36819  77285
 25.5375 17.3361  5.38 "          " 6455 157087  85016
 29.4631 19.5808  5.38 "  9    Cyg" 7441 184759  87385
 50.5336 19.0038  5.38 "          " 7210 177003  31311
 53.3967 19.0820  5.38 " 51    Dra" 7251 178207  31371
 75.1606 12.3139  5.38 "          " 4687 107193   7540
 77.2814  2.0854  5.38 " 47    Cas"  581  12230   4562
-10.2633  4.9973  5.38 " 63    Eri" 1608  32008 150060
-19.3019 15.6485  5.38 " 41    Lib" 5814 139446 159411
-20.5547  8.1217  5.38 "          " 3183  67456 175206
-20.6397  4.3442  5.38 "          " 1367  27616 169354
-20.7283 18.2536  5.38 " 15    Sgr" 6822 167264 186543
-26.3267 16.1354  5.38 "          " 6001 144690 184144
-27.8342  7.3914  5.38 "          " 2822  58215 173622
-37.3433 18.9446  5.38 "          " 7129 175362 210734
-39.5628 10.5869  5.38 "          " 4153  91793 201533
-49.1514  5.0468  5.38 "   Eta1Pic" 1649  32743 217140
-52.8097 14.9381  5.38 "          " 5556 131562 242120
-58.7872 13.7003  5.38 "          " 5140 118978 241080
